VL,BF,TA,MG,Sol,Heel,Toe
-0.185356154,-0.062628861,-0.162628877,-0.147044459,0.962371303,0.42113745,0.07211142
-0.710031563,-0.014901581,0.182501048,-0.04866782,0.407825759,0.420812775,0.07211142
-1.79801875,0.005552968,0.067565965,0.083475058,-0.121395105,0.421462125,0.057825703
-2.726265652,0.061072457,-0.072693798,0.017890632,-0.378538003,0.422760827,0.072436095
-3.041525443,0.254578982,-0.107109388,0.000682837,-0.323343189,0.422111476,0.071786745
-2.804187743,0.35230627,-0.140550952,-0.004511969,-0.142823679,0.420488099,0.073085446
-2.112953866,0.030552972,-0.144771732,-0.161330176,0.030228296,0.376007573,0.074059472
-0.872044576,-0.25094058,0.043539987,-0.115226272,0.043539987,0.422436151,0.076007524
-0.086979515,-0.369447092,0.193540011,0.030877647,0.172436111,0.42113745,0.075682849
0.047760767,-0.299641886,0.239319239,0.414643942,0.016916606,0.42113745,0.076007524
0.185747802,-0.114252246,0.186397153,0.382176405,-0.004511969,0.422111476,0.075682849
0.341267307,-0.034382104,-0.314901629,0.014319203,-0.057434055,0.422111476,0.056851677
0.625358262,0.048410117,-0.390875667,-0.369122417,-0.126265235,0.42113745,0.076981551
0.996137542,0.028604919,-0.106784713,-0.372693846,-0.107758739,0.422111476,0.077306226
1.011397285,-0.081784709,-0.16944706,-0.243473046,0.03769583,0.423085502,0.076981551
1.049708979,-0.360356182,-0.031460025,-0.019771712,0.01659193,0.422111476,0.076981551
0.798734913,-0.269771752,0.289319247,0.17535819,0.087695838,0.421462125,0.079578954
0.297111456,-0.197693818,0.33964393,0.143540003,-0.096070425,0.420163424,0.079578954
0.226656899,-0.405810735,0.160747798,-0.140875627,-0.192823688,0.422436151,0.077955577
-0.180486023,-0.404512033,-0.217823692,-0.438927623,-0.052563925,0.42113745,0.078604927
-0.386005537,-0.283732793,-0.560356214,-0.372044495,0.167565981,0.421462125,0.079254278
-0.454836717,-0.303213316,-0.34152501,-0.102563933,-0.006784697,0.42113745,0.079254278
-0.550615953,-0.285031495,0.139968574,0.212371183,-0.236654863,0.421462125,0.078929603
-0.616200379,-0.162304202,0.002630889,0.303929639,-0.139576926,0.422111476,0.079903629
-0.636005577,-0.161979527,-0.474317239,0.034773752,0.040293233,0.422760827,0.078929603
-0.550615953,-0.116200299,-0.485356202,-0.370421119,0.142890652,0.421786801,0.079578954
-0.498992568,-0.100291205,-0.077888604,-0.331460073,0.097436099,0.423734853,0.062046483
-0.501589971,-0.204187326,0.282176389,0.300033534,-0.137304198,0.424059528,0.079903629
-0.418148399,-0.291849677,0.202955597,0.325033538,-0.544771796,0.423085502,0.079903629
-0.405810735,-0.325615917,-0.037304182,-0.061654835,-0.044771716,0.422760827,0.079903629
-0.383408134,-0.253213308,-0.103862634,-0.128213288,0.361397181,0.383799782,0.079578954
-0.29444708,-0.188278232,-0.129836664,-0.135356146,0.270488075,0.424059528,0.079254278
-0.17366784,-0.07821328,-0.111005493,0.247111448,-0.058083406,0.423734853,0.078929603
-0.044122365,-0.059706783,-0.030810675,0.765618025,-0.121070429,0.424708879,0.079578954
0.127955585,-0.084057436,0.037046479,0.35230627,0.012046475,0.423410178,0.079254278
0.348410166,-0.04379769,0.008799721,-0.335680853,0.152955589,0.423734853,0.053604923
0.471462133,-0.131460041,-0.039901585,-0.261005517,0.256527034,0.423410178,0.079578954
0.092241293,-0.200615897,-0.020745738,-0.06977172,-0.064576914,0.423085502,0.079578954
0.18022832,-0.143797706,0.060423106,0.333150423,-0.07821328,0.424384204,0.079254278
0.704254378,-0.085031462,0.206851701,0.204254298,0.237695862,0.424059528,0.078604927
0.743864774,-0.026265219,0.154578966,-0.112953545,0.397760823,0.423085502,0.078929603
0.571137474,0.043864662,0.085747786,-0.341849685,0.220812742,0.422436151,0.078604927
